Record_ID,Title,Author,Journal,Year,DOI,Retraction_Date,Reason
1,RETRACTED: Cross-Cultural communication of language learning social software based on FPGA and transfer learning,"Zang, Shengnan",Microprocessors and Microsystems,2021,10.1016/j.micpro.2020.103768,2026-01-15,See publisher notice
2,RETRACTED: Research on the spread effect of data recording sports app on outdoor running group,"Liang, Feng",Microprocessors and Microsystems,2021,10.1016/j.micpro.2021.103927,2026-01-15,See publisher notice
3,RETRACTED: Development of financial option pricing system based on fpga and machine learning,"Yu, Xisheng",Microprocessors and Microsystems,2021,10.1016/j.micpro.2020.103708,2026-01-15,See publisher notice
4,RETRACTED: Microprocessor in vitro simulation system applied to the separation of intestinal flora and fermented food microorganisms,"Lyu, Yuhong",Microprocessors and Microsystems,2021,10.1016/j.micpro.2021.104006,2026-01-15,See publisher notice
5,WITHDRAWN: Mitigation of voltage sag/swell by dynamic voltage restorer using fuzzy based particle swarm controller,"Sudharani, S.",Materials Today: Proceedings,2021,10.1016/j.matpr.2020.11.609,2025-11-01,See publisher notice
6,RETRACTED: Comparative study of structural and optical behavior of Er3+ doped Y2SiO5 phosphor prepared by different methods,"Upadhyay, Kanchan",Materials Science and Engineering: B,2022,10.1016/j.mseb.2021.115511,2025-11-05,See publisher notice
7,WITHDRAWN: The role of cobalt on cathode material for intermediate temperature solid oxide fuel cells: A review,"Shen, Minghai",International Journal of Hydrogen Energy,2022,10.1016/j.ijhydene.2022.01.206,2025-10-05,See publisher notice
8,Retraction notice to “Development of curcumin-loaded silk fibroin nanoparticles as drug delivery vehicle for the treatment of ischemic stroke for patients in nursing care in hospitals” [J. Drug Deliv. Sci. Technol. 55 (2020) 101360],"Zhang, Liang",Journal of Drug Delivery Science and Technology,2021,10.1016/j.jddst.2020.102187,2025-10-29,See publisher notice
9,WITHDRAWN: Evolving Practice Trends of Aortic Root Surgery in North America,"Caceres, Manuel",The Annals of Thoracic Surgery,2014,10.1016/j.athoracsur.2014.07.053,2025-09-13,See publisher notice
10,[Retracted] SMAD specific E3 ubiquitin protein ligase 1 promotes ovarian cancer cell migration and invasion via the activation of the RhoA/ROCK signaling pathway,"Wang, Wei",Oncology Reports,2025,10.3892/or.2025.8938,2025-06-30,See publisher notice
